I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Self-employed / freelance,Yes,Often,5,4,3,2,1,1,3,1,1,4,1,1,1,1,1,4,5,6,5,It doesn’t. I use AI to quickly do what my brain can do over a longer spell. ,45 - 54,UK,Woman
Yes,Homemaker / caring for family,Yes,Sometimes,6,5,3,5,1,2,1,1,1,2,1,1,1,1,2,2,4,3,1,I have yet to have any issues with them except for learning prompts and making it do as closely to as I like can be a bit of a hassle.,35 - 44,US,Man
Yes,Employed part-time,Yes,Often,3,3,4,3,4,3,3,4,4,3,4,4,5,4,4,3,3,3,2,It can sometimes blur your way of thinking and you can get persuaded when maybe your gut is telling you other things. But you can come to rely on it and think it is making better choices than you are.,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,2,3,2,3,2,2,5,4,2,3,2,2,3,1,2,1,2,2,1,It makes me think better because it gives me ideas and advice that I wouldn't have otherwisde.,45 - 54,US,Man
Yes,Employed part-time,Yes,Sometimes,2,1,1,1,1,1,1,1,1,4,2,1,1,3,1,5,5,5,1,"I use AI tools purely as tools, nothing else. They affect my ability to think and make decisions in the same way that computers and calculators do, basically not at all. The way I use these tools, they simply help me do things faster and more efficiently. Why would that have any effect on my ability to think clearly? Other than feeling tired from doing something for a long time which everything else also does, they have no negative impact on me.",25 - 34,US,Man
Yes,Employed full time,Yes,Occasionally,2,2,1,1,1,1,3,4,4,3,1,2,2,1,1,1,1,1,3,"It doesn’t really, I probably spend too much time using them but I don’t think it affects my cognitive abilities too much ",25 - 34,UK,Man
Yes,Homemaker / caring for family,Yes,Very often,5,6,2,2,1,2,5,2,1,2,3,2,2,1,1,1,1,1,1,"I don't think that it affects my ability to think clearly, make decisions, or rest my mind. I am still very independent in my thoughts and tend to only use ai when i want to speed up the process of finding an answer to something i would otherwise google ",35 - 44,US,Woman
Yes,Employed full time,Yes,Everyday,2,4,4,6,2,1,6,7,3,2,1,1,2,1,1,1,2,2,1,"AI tools help me figure out a potential root cause for something a lot better than my mind and or Google would ,and therefore it helps me make better decisions and rest my mind, as something that would take 45 min to identify the root cause via Google would take 2 min with AI",35 - 44,Ireland,Man
Yes,Homemaker / caring for family,Yes,Sometimes,4,5,4,3,3,4,3,3,5,4,3,4,4,2,3,4,4,5,2,It can be difficult to feel like the decision is my own. ,35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,4,4,5,5,5,5,3,1,3,5,6,4,5,5,6,7,7,7,1,It is like I am working on autopilot and I feel like I am less human at times when relying on AI to assist me. It is easier and does help me out and saves time but I do wish it weren't as necessary in this modern world as I don't want to lose brain power.,35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,5,4,3,6,3,2,2,2,2,2,4,5,5,1,1,1,2,3,1,"I use it for harder tasks only or rewording my own never just because I can, I still do my own too as do not want to rely on it all the time!",55 - 65,UK,Woman
Yes,Employed full time,Yes,Often,3,2,3,3,2,2,3,2,2,5,4,4,5,2,2,5,6,6,2,"I think the human mind needs to sit in silence and boredom to rest, and using digital/AI tools overstimulates the mind and detracts from the necessary silence.",35 - 44,US,Man
Yes,Employed full time,Yes,Everyday,6,6,5,6,7,5,5,3,4,7,7,7,7,3,3,7,7,7,1,"I often find myself with brain fog after having used AI systems throughout the day, as it almost stops my brain from forming its own thoughts as I find myself automatically going to ChatGPT for a quick answer.",25 - 34,UK,Woman
Yes,Employed full time,Yes,Occasionally,5,5,4,2,1,4,2,2,2,4,4,5,4,4,1,2,4,4,4,It doesn't ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Occasionally,2,5,3,5,2,2,2,4,3,4,3,3,2,2,1,5,6,5,1,i think that i use Digital tools only when i need to so that helps me shorten the amount of time i have mental fatigue using these tools,45 - 54,US,Man
Yes,Employed full time,Yes,Occasionally,1,1,1,1,1,4,1,1,1,7,7,7,7,1,1,1,7,7,1,"It is no different to gaming, use it sparingly and for fun only, not to be taken seriously",45 - 54,UK,Man
Yes,Unable to work due to illness or disability,Yes,Very often,1,4,1,4,1,1,4,4,6,6,4,4,7,4,4,4,4,4,4,I think it affects my ability to think for myself sometimes ,25 - 34,UK,Woman
Yes,Retired,Yes,Everyday,2,2,2,5,1,1,2,4,2,2,1,2,4,2,1,1,2,1,2,I do not really think AI effects my ability to thing. It allows me to access information quickly ,Over 65,US,Woman
Yes,Employed full time,Yes,Sometimes,2,3,2,2,2,1,1,2,2,1,2,3,2,2,1,1,3,4,1,I think using AI tools helps me think and gives me ideas which help me come to conclusions faster ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Often,5,6,5,6,2,4,2,3,2,5,5,4,5,2,2,5,5,5,2,"Sometimes i'm cautious as i can read something on AI and question it's authenticy, i'm worried the responses are too generalised, a summary of information and therefore may not be accurate, i have concerns about misinformation and disinformation. I have read things that do not answer the question asked even though i consider it to be a simple one so i worry about the understaning of the question from the AI and if it's been answered accurately.",35 - 44,UK,Woman
Yes,Employed full time,Yes,Very often,2,2,1,4,2,2,5,5,2,1,5,3,3,2,1,4,6,1,2,It gives me clarification in real wording on my thoughts,55 - 65,UK,Man
Yes,Self-employed / freelance,Yes,Often,5,5,5,5,4,5,4,3,4,5,5,4,5,5,3,4,5,6,3,Sometimes I wonder if the judgements and conclusions are my own or if it is AI,18 - 24,UK,Man
Yes,Retired,No,Rarely,4,4,4,6,1,4,1,4,1,4,2,4,4,1,1,1,1,4,1,Can cause you to be less inclined to search out information or learn on your own.,35 - 44,US,Man
Yes,Employed full time,Yes,Occasionally,4,3,2,4,5,5,5,5,3,4,5,2,2,5,2,6,3,5,1,It takes away the drain from having to do repetitive tasks.,25 - 34,US,Prefer not to say
Yes,Employed part-time,No,Rarely,1,2,1,1,3,2,1,1,1,6,4,5,6,1,1,2,3,2,1,I think using AI can leave the user feeling detached rather quickly and has a negative effect on their cognitive abilities ,18 - 24,Ireland,Man
Yes,Employed full time,No,Occasionally,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,2,7,6,2,Sometimes I feel like I need to get into the real world after using a computer for a long time. I like to take regular breaks and go for a walk or look at my garden to clear my mind and rest my eyes.,45 - 54,UK,Woman
Yes,Unemployed and looking for work,No,Rarely,2,6,3,5,2,6,1,1,1,4,4,5,7,3,2,5,4,5,1,It is always just a lot of information to take in all at once.,55 - 65,US,Woman
Yes,Employed full time,Yes,Occasionally,2,2,2,4,1,1,2,5,1,2,2,3,1,1,1,1,1,1,1,No effect ,25 - 34,Australia,Man
Yes,Employed full time,Yes,Everyday,2,1,3,3,2,2,4,3,2,1,2,1,2,1,1,2,4,2,1,"It helps me overall, as I don't waste my time having to phrase communications to clients.",45 - 54,Ireland,Man
Yes,Self-employed / freelance,No,Occasionally,3,3,5,2,5,2,2,2,3,6,6,5,6,2,2,2,4,4,1,"I feel like I lose some of my creativity and uniqueness when I use AI tools. It often ""blocks"" my ability to generate more individualized, unique decisions. ",25 - 34,US,Woman
Yes,Self-employed / freelance,Yes,Very often,3,5,5,6,3,5,2,1,3,6,6,6,6,3,3,3,5,5,2,"sometimes the answers you get are so perplexing, or seem tailored to want the ""please you"", you have to constantly check the work or fix mistake after mistake which takes even longer and is more taxing than not using it at all. ",45 - 54,US,Man
Yes,Employed full time,Yes,Everyday,5,3,5,7,5,2,7,5,6,5,2,3,3,5,5,6,6,5,3,it provides me with useful information that is unique and personal which makes me feel at ease,25 - 34,UK,Man
Yes,Employed full time,Yes,Sometimes,7,5,4,6,1,2,4,4,3,5,6,5,7,3,2,2,5,4,5,I don’t feel it has anymore of a negative impact on any of those things any more than regular screen time. I always need breaks from the screen. ,25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Occasionally,4,4,5,7,1,5,1,4,2,5,4,5,7,5,5,4,6,7,1,it can give me a lot of info to ponder about,35 - 44,UK,Woman
Yes,Employed full time,No,Sometimes,1,1,1,1,1,5,5,6,5,6,6,2,2,1,1,1,6,5,1,Sometimes it is so much information that I feel mentally drained ,45 - 54,US,Man
Yes,Retired,Yes,Everyday,2,4,2,1,1,1,4,2,3,2,1,1,1,1,1,1,1,1,3,"I can think as clearly as always, when using AI, it doesn't affect me",55 - 65,UK,Man
Yes,Employed full time,No,Occasionally,2,6,4,2,1,5,1,1,1,1,2,4,2,6,2,7,7,7,1,"It's distracting because you have spend more time trying to evaluate if you have been given factual information, and weighing up the option given to you by AI, it really just adds to your cognitive workload.",45 - 54,UK,Woman
Yes,Student,Yes,Occasionally,3,4,5,3,2,4,2,6,2,4,1,4,5,5,4,3,4,2,2,I think I view it as an advisory tool so I can recognise I do use it for decisions but I am not solely reliant on it. I might use it for mind clarity advise but not as a source ,18 - 24,UK,Woman
Yes,Employed full time,Yes,Often,3,3,3,4,2,2,2,3,2,5,5,6,6,4,4,4,6,6,1,I feel reliant on it. It can start to stress me out like I'm losing my touch,35 - 44,US,Man
Yes,Employed full time,Yes,Sometimes,4,6,7,2,3,5,1,2,1,2,4,3,4,1,2,3,6,6,1,"It does sometimes feel that trying to distinguish from my original thought to the one presented by AI can be blurred. Sometimes the way things are reworded by AI makes me think, didn't I just say that, so makes me question my judgement or knowledge and then leads me down another rabbit hole of finding that out. ",55 - 65,UK,Woman
Yes,Unable to work due to illness or disability,Yes,Often,5,7,7,7,7,7,5,3,3,5,7,7,7,7,7,7,7,7,4,I get lazy thinking and distracting or intrusive thoughts enter more in my head making me feel as though I need to rest to reset myself?,55 - 65,UK,Man
Yes,Employed part-time,Yes,Occasionally,4,3,3,1,2,4,3,2,2,5,4,5,6,1,1,7,7,7,1,"often when i am using AI tools, the amount of information it gives me is often large and cluttered so it takes more time to go through and analyze the results for accuracy. by having results and information generated it does save time initially, but having to comb through and check for accuracy is often draining as it feels like a menial task.",25 - 34,US,Woman
Yes,Retired,Yes,Often,5,5,3,3,1,4,3,3,3,4,3,3,5,1,1,1,1,1,1,doesn't affect my ability to think clearly in any way,55 - 65,UK,Man
Yes,Self-employed / freelance,Yes,Rarely,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,"It doesn't affect my ability, because I use it sensibly and I rely on myself and my own thinking/creativity as much as possible. It's just there to help me if I'm lacking inspiration and so on.",25 - 34,UK,Woman
Yes,Employed full time,Yes,Occasionally,3,2,5,2,1,1,1,1,1,4,1,2,7,1,1,6,5,4,1,It doesn't have a great deal of affect on me a I don't use AI tools often. I find them a pleasant diversion when I do use them as they are still a novel way of working to me.,55 - 65,UK,Man
Yes,Employed full time,Yes,Occasionally,1,2,2,2,1,2,3,1,3,1,3,4,4,1,1,1,1,3,2,"It has no effect at all, I find it a useful tool and see it only as that",35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,5,7,6,5,2,7,1,1,1,1,7,7,7,1,4,5,3,7,1,It really blurs things and ive to waste time validating the outputs,35 - 44,Ireland,Man
Yes,Unable to work due to illness or disability,Yes,Occasionally,2,4,1,1,1,1,1,1,2,3,1,1,6,1,1,1,2,1,3,"I just use these tools to identify details so that I can make informed decisions, for instance about products and services. I do not offload decision-making authority at all.",45 - 54,US,Woman
Yes,Employed full time,Yes,Everyday,2,2,2,2,1,1,1,1,1,2,1,1,5,1,1,1,4,1,1,I use AI every day only to confirm that the work I do is accurate.,35 - 44,New Zealand,Man
Yes,Employed full time,No,Rarely,2,3,2,2,1,2,1,2,2,6,2,2,2,1,1,3,4,4,1,I'm not sure it does very much personally. The only way I would suggest digital life affects my ability to concentrate is the sometimes constant buzz of notifications from my phone. ,35 - 44,UK,Man
Yes,Employed part-time,Yes,Often,3,3,2,4,1,1,2,2,1,5,2,4,3,1,1,2,5,4,1,"Whenever I ask AI something and it gives me the answer and I use the answer, even if I rephrase it I doubt if I truly understand it.",18 - 24,US,Woman
Yes,Employed full time,Yes,Often,2,4,2,6,1,1,2,1,1,6,1,1,7,1,1,1,7,5,1,I use AI like a partner working together each providing information for a decision so no mental effect really,25 - 34,US,Man
Yes,Employed full time,Yes,Sometimes,4,4,5,4,4,3,4,4,4,5,5,5,5,3,3,4,4,3,3,"I think using AI affects my ability to make my own personal decisions as it does become easier to rely on AI to make decisions for me, leading to potential mistrust of myself, and lack of clear thinking. However, using AI does make it easier to rest my mind as the software does the bulk of the thinking for me. ",25 - 34,UK,Woman
Yes,Employed part-time,No,Rarely,2,3,1,1,1,2,1,1,1,4,4,4,5,1,1,2,4,5,1,I don't use AI programmes very often but I can definitely tell when I have been using screens too much and know I need to take a break and unwind. I think too much tech use is not something our brains are used to.,35 - 44,UK,Woman
Yes,Employed part-time,No,Occasionally,4,6,4,5,4,4,3,2,2,4,3,4,6,2,3,4,5,4,2,I end up relying on it too much and I think this can stifle my own thinking ,55 - 65,UK,Woman
Yes,Employed full time,Yes,Occasionally,5,3,5,6,5,6,3,2,2,3,3,6,7,4,5,7,7,7,1,Overload of words and information and very quickly spat out by the AI so i don't have time to think.,45 - 54,US,Man
Yes,Unemployed and looking for work,Yes,Sometimes,5,5,6,3,2,5,4,1,2,7,7,7,7,1,1,1,5,4,1,"It can take away the human aspect of thinking, although I always try and go over its answers to check it/change it to be more human",18 - 24,UK,Man
Yes,Employed part-time,Yes,Very often,6,4,5,7,5,4,7,6,7,4,6,2,2,6,1,2,5,3,1,i am reliant on Ai,45 - 54,UK,Woman
Yes,Student,Yes,Very often,3,6,3,6,1,4,1,1,5,2,6,7,7,3,1,1,6,3,1,"At times it provides too much information to absorb, so I have to ask it to condense the information so that I am able to use the most relevant pieces and then research those on my own.",18 - 24,UK,Woman
Yes,Employed full time,Yes,Sometimes,1,2,3,2,1,1,2,3,3,2,3,4,5,1,1,1,4,4,4,I can become too focussed on the interaction and less on my immediate surroundings,45 - 54,UK,Man
Yes,Unable to work due to illness or disability,Yes,Everyday,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"It doesn't affect me negatively. Instead, since I can be mentally and physically fatigued due to medical issues, it helps me with tasks related to managing my medical stuff. For instance, I might give it the info that I want to convey during an upcoming appointment and then have it clarify and condense that to make it more effective. This saves me time and energy and makes me more likely to succeed at my appointment. This helps me to rest my mind by being more easily prepared.",55 - 65,US,Woman
Yes,Employed full time,Yes,Sometimes,3,4,3,5,2,1,5,2,1,2,2,1,1,1,1,1,1,1,1,I don't think using AI tools affects my decisions or thought clarity at all.,45 - 54,UK,Woman
Yes,Employed part-time,Yes,Often,6,6,3,2,2,3,3,2,2,3,4,4,3,2,2,2,5,3,2,"I don't think it has an effect on my mental abilities once the session is over. In-session, sometimes I can be a little too trusting of the AI. For example, I lost 2 hours at work the other day because ChatGPT hallucinated that something impossible to do with a Python library was possible. I assumed the AI was right and built scaffolding around the idea, only to realize the problem when I tried to slot the hallucination in.

So, while I find these LLMs to be useful tools, especially for remembering syntax in programming languages that I don't use often, I do catch myself believing them a little too readily. Once I step away though, I've synthesized anything true/useful it's said and moved on with my life. I don't think of it much differently than iterating on Google searches.",35 - 44,US,Man
Yes,Employed full time,Yes,Occasionally,4,6,4,4,3,5,2,1,1,5,5,5,6,3,3,3,3,5,1,"Using AI gives sometimes extensive options, sometimes helpful and sometimes obstructive.",45 - 54,UK,Man
Yes,Employed full time,No,Rarely,5,6,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,I use it sometimes but don't want to become reliant on it,25 - 34,UK,Woman
Yes,Employed part-time,Yes,Everyday,5,3,4,6,1,4,6,2,3,3,4,4,5,3,2,2,7,7,1,"I think using AI tools helps me a lot but if I am giving it prompts and it's not following, that is stressful. I think a moment away from it helps declutter the mind quickly.",25 - 34,US,Woman
Yes,Employed part-time,Yes,Rarely,4,5,3,3,4,3,1,2,6,5,4,4,7,3,3,4,5,5,1,I focus too much on phrasing things correctly for AI rather than thinking however i want,35 - 44,UK,Woman
Yes,Unemployed and looking for work,Yes,Everyday,2,4,3,6,3,2,3,1,2,6,5,5,6,1,1,5,6,7,1,The majority of decisions I make are made after some form of research using digital or AI tools. I don't feel self confident enough to make important decisions without using the internet now.,35 - 44,UK,Man
Yes,Employed full time,No,Occasionally,2,1,2,2,1,1,1,1,1,4,3,4,4,1,1,1,3,1,1,I don't use it a lot. So minimum impact. ,35 - 44,UK,Man
Yes,Employed full time,Yes,Everyday,4,5,5,5,3,2,4,3,2,4,4,5,5,1,1,2,6,4,2,"Ai doesn't really affect my thinking in a deep way, I usually use AI as a support in my decisions. Sometimes it can help me to clearify some doubts but the final decision is always mine. ",45 - 54,UK,Man
Yes,Employed full time,No,Rarely,1,6,6,2,2,5,1,1,1,5,7,5,6,2,1,1,3,6,1,It just relies on something that isn't real to make the decision for us ,25 - 34,UK,Man
Yes,Employed full time,Yes,Very often,6,6,4,4,5,5,5,5,5,6,6,5,5,4,2,6,6,2,2,"USING DIGITAL AI TOOLS HELPS ME PROCESS INFORMATION FASTER AND STAY ORGANIZED, WHICH CAN MAKE DECISION MAKING FEEL MORE EFFICIENT. BUT SOMETIMES, RELYING ON THEM TOO MUCH MAKES IT HARDER TO TRUST MY OWN JUDGEMENT OR TAKE MENTAL BREAKS SINCE THERE'S ALWAYS MORE DATA TO ANALIZE OR NOTIFICATIONS TO CHECK",45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,2,3,3,5,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,I think that sometimes I can get a bit carried away by delving deeper than I need to when using AI such as ChatGPT to help with queries.,45 - 54,UK,Woman
Yes,Employed full time,Yes,Occasionally,3,5,4,5,2,3,2,1,1,5,6,5,6,1,1,3,6,6,1,It feels like my mind is atrophied when I don’t use it often to make my own decisions.,35 - 44,US,Man
Yes,Retired,Yes,Everyday,2,2,2,3,2,1,2,1,1,1,2,2,2,1,1,2,3,4,1,"I honestly don't ever feel that I ca't think clearly or make my own decisions after using AI. I use Gemini daily, multiple times some days, buts its just a tool. Does a woodworker need time away from his saw to think clerly - i doubt it. Thats how I feel about using AI.",55 - 65,US,Man
Yes,Employed full time,Yes,Everyday,2,5,1,1,1,1,6,7,1,1,1,1,1,1,1,1,7,3,1,AI recommends suggestions and enables me to think and follow processes to achieve my goals and answers. ,Over 65,UK,Man
Yes,Employed full time,Yes,Occasionally,4,4,3,5,4,3,2,4,2,3,4,2,4,2,2,2,5,4,2,You start doubting your own judgement if you don't come up with the same as an AI,55 - 65,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,1,2,2,1,1,3,2,2,4,4,5,4,2,2,3,4,5,1,Makes things easier but sometimes I need a break,35 - 44,US,Woman
Yes,Employed full time,No,Often,2,2,4,5,2,3,5,3,4,2,3,4,4,2,3,4,6,4,2,it definitely helps me to make better decisions when I have a choice to make,35 - 44,US,Man
Yes,Employed full time,Yes,Sometimes,1,1,1,2,1,1,2,4,1,2,2,2,6,1,1,1,4,2,1,"The only problems I experience are if I spend hours using the computer with no breaks. I have to get up, walk away and take breaks or else I feel fried.  I have no problems with AI",55 - 65,US,Woman
Yes,Self-employed / freelance,Yes,Everyday,4,5,3,4,4,3,3,3,5,2,2,5,3,2,2,2,2,2,2,It informs me by offering a perspective rooted in a more objective analysis. I can tailor it's suggestions to suit me. I don't let it decide for me without thoroughly interrogated it to determine if it's accurate and trustworthy information.,25 - 34,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,AI improves all aspects and helps with decisions by finding helpful information. I can rest my mind while an AI it working on a solution giving me a break to think about other things,25 - 34,UK,Man
Yes,Student,Yes,Everyday,3,6,6,4,5,5,3,1,2,5,5,5,6,1,2,5,5,4,2,SOmetimes instead of fixing the error I kepp asking teh AI to fix teh error which drains all my energy,25 - 34,UK,Man
Yes,Employed full time,Yes,Sometimes,5,7,6,6,4,5,2,2,1,5,7,7,7,1,1,7,7,5,2,There's just so much of it going on,35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,3,4,6,4,3,3,5,3,6,5,4,5,6,3,2,6,6,4,2,"It makes systems and processes easier to deal with, and so reduces my own independent thought - I question if my own choices are the right ones and often feel the need to double check with AI",45 - 54,UK,Man
Yes,Employed full time,Yes,Occasionally,1,1,2,2,1,1,1,1,1,1,5,4,7,2,1,4,4,5,1,I just think it can make me feel more tired and just put me in a generally poor mood.,35 - 44,UK,Man
Yes,Homemaker / caring for family,Yes,Occasionally,4,3,4,4,3,3,3,4,3,3,3,4,4,2,2,2,4,4,3,I use AI to mainly check information on certain medical topics. I read the answers and cross check on non AI platforms mainly to cover all bases and give me peace of mind,55 - 65,UK,Woman
Yes,Employed part-time,No,Occasionally,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,"It has no current effect on me as my use is limited, when I do use it it has little effect on me.",45 - 54,New Zealand,Man
Yes,Employed full time,Yes,Very often,5,3,5,4,4,4,6,3,5,6,5,5,7,2,2,3,3,3,3,i find I don't trust my own judgement or I a hard on myself when AI produces something better. I worry that I don't seem to be able to 'think through' problems any more,45 - 54,UK,Woman
Yes,Employed full time,Yes,Very often,2,2,2,3,1,2,3,3,2,3,3,3,4,1,1,7,6,4,2,I think it’s the opposite it gives me clarity of thought and confirms why ideas are positive solutions ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Everyday,2,3,3,4,3,5,7,6,6,4,6,5,2,2,2,4,6,4,4,I use it like it is my partner in crime to tackle anything that is needed. The AI helps me but I make sure to review it with other sources before a decision ,25 - 34,US,Man
Yes,Student,Yes,Occasionally,3,2,3,5,3,3,2,4,2,5,6,6,6,1,1,1,4,3,3,"I don't use AI all that much, but when I do I use it as a supplement to what I already know. Sometimes I use it to summarize a long article, which helps me maintain focus.",35 - 44,US,Man
Yes,Employed part-time,Yes,Often,6,7,5,2,5,7,6,2,5,5,6,6,7,2,6,7,7,7,5,"Using AI can be very helpful for me in making decisions especially in regards to things like meal ideas. However, too much use leaves me scattered and overstimulated. It is imperative that i do not overuse AI and take regular breaks to calm my mind and think for myself.",25 - 34,Australia,Woman
