consent,prolific_id,work_status,ai_tools_use,ai_tools_frequency,mentally_taxed_ai_prompts,ai_info_trust_drains_focus,switching_ideas_ai_flow_harder,meta_thinking_when_using_ai,lose_track_own_vs_ai_thoughts,brief_ai_sessions_mind_cluttered,rely_ai_suggestions_decisions,follow_ai_over_instinct,less_confident_without_ai_input,ai_decides_detached_from_outcome,question_if_decision_truly_mine_ai,ai_blurs_judgment_automation,worry_ai_weakens_independent_decisions,mind_replays_ai_interactions,hard_to_switch_off_after_ai,need_time_away_to_feel_myself,short_ai_breaks_clear_head,day_disconnected_ai_calm_grounded,uneasy_without_ai_long_periods,open_text_ai_effects_on_thinking,age_group,country,gender
Yes,59e29e405de9b000017ecebf,Self-employed / freelance,Yes,Sometimes,2,6,2,5,1,1,3,2,1,1,1,2,4,1,1,1,5,2,1,"The only issue I have with AI in how it affects me mentally is that I feel it makes me lazier and dumber in some ways. Like instead of remembering stuff on my own, I might ask an AI with very little information and it always figures out what I was trying to remember. So, I have kind of stopped myself from immediately relying on that unless I really cannot remember the name of something after a while. It's all about balance I guess. It has improved my writing, though.",35 - 44,US,Woman
Yes,59ea2d5a7f3d71000171e0a9,Employed part-time,No,Often,3,6,4,3,1,1,1,1,1,5,1,3,7,2,3,2,5,5,1,I think it makes me reliant on it and damages my critical thinking skills,35 - 44,US,Woman
Yes,5a2c51740a1e6b00016952c8,Employed part-time,No,Occasionally,4,6,4,5,4,4,3,2,2,4,3,4,6,2,3,4,5,4,2,I end up relying on it too much and I think this can stifle my own thinking ,55 - 65,UK,Woman
Yes,5a2ef9bbfd28e9000102ee68,Self-employed / freelance,Yes,Often,3,3,2,2,2,3,4,3,2,5,4,5,5,2,2,4,5,5,2,"I think it's all to easy to become dependant on AI tools, so sometimes I feel that I have too many options with information whilst using it. Breaking away from it makes my head feel clearer, and like I am back in reality again.",45 - 54,UK,Woman
Yes,5a47473899311d0001df550e,Employed full time,Yes,Occasionally,1,2,2,2,1,2,3,1,3,1,3,4,4,1,1,1,1,3,2,"It has no effect at all, I find it a useful tool and see it only as that",35 - 44,UK,Woman
Yes,5a4bf09053a4560001ba0ebf,Employed full time,Yes,Often,2,2,3,3,1,2,2,3,3,2,1,2,2,4,3,1,2,2,3,"I see AI tools as just another source of information and data that I can use to inform some of my decision-making. Ultimately the decisions I make are still mine, and I feel that I think just as clearly as ever.",35 - 44,US,Man
Yes,5a7226d9f660ae0001a9a547,Employed part-time,No,Sometimes,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,"I do not feel it affects my ability to think clearly, make decisions or rest my mind. I am in complete control of when I use it. I only use it for advice, if it conflicts with what I thought I do further research to avoid misinformation but other than that I am in complete control of the situation ",25 - 34,Ireland,Woman
Yes,5a7cb83a000dab00018c530b,Employed full time,Yes,Everyday,2,2,1,5,1,1,7,2,5,1,1,1,1,1,1,1,5,2,6,"When I spend too much time on my laptop working intensively and using digital tools, I experience cognitive fatigue and feel the need to rest my mind.",45 - 54,UK,Woman
Yes,5a8367b9190420000155ec2a,Employed full time,Yes,Very often,5,6,4,4,5,6,4,3,2,5,4,6,6,3,4,7,7,7,2,"These tools can be helpful but I increasingly feel like they are too much, and I want to step away from using them. But I can't, I need them for my work. Everything feels too ""noisy"" when I use these tools - too many distractions, hard to keep focus. The modern world feels so busy and overstimulating. When I'm able to step away, I feel my brain ""relaxing"" and ""breathing"". I always feel so much better, much healthier.",35 - 44,UK,Man
Yes,5a8b61fcf1408d000176b02f,Employed full time,No,Rarely,7,7,4,1,1,4,1,1,1,4,4,4,4,1,1,1,1,4,1,"I hardly ever use AI but when I do,I just do not like how I feel using AI suggestions.  It just does not feel normal or right",Over 65,US,Woman
Yes,5a937cb0dbdb470001ee923b,Employed part-time,No,Never,1,4,1,1,1,1,1,1,1,1,1,7,7,1,1,1,3,3,1,I avoid AI use as much as possible. AI makes me furious. I do feel  irritated by how hard it is to avoid now.,45 - 54,US,Woman
Yes,5a94fbadf05361000171bc25,Employed full time,Yes,Very often,4,4,5,5,5,5,3,1,3,5,6,4,5,5,6,7,7,7,1,It is like I am working on autopilot and I feel like I am less human at times when relying on AI to assist me. It is easier and does help me out and saves time but I do wish it weren't as necessary in this modern world as I don't want to lose brain power.,35 - 44,UK,Woman
Yes,5a973b8235237b0001127686,Employed part-time,Yes,Occasionally,3,5,3,5,2,5,3,2,3,6,2,5,5,5,5,4,6,6,2,"using AI can make me distrust its results. If I don't like the decision made by AI, I will look for reasons why the AI is not correct and/or try to change the outcome. I don't trust AI enough to always trust its output, so it can end up taking me even longer to do things rather than save me time.",45 - 54,US,Woman
Yes,5a9e9fc46219a30001f54994,Retired,Yes,Sometimes,5,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,if I have a problem digitally I can count on AI,Over 65,UK,Man
Yes,5a9fa90f873cda00010d29d8,Employed full time,Yes,Everyday,5,7,6,3,6,7,3,1,5,5,7,7,7,3,5,6,5,6,7,AI tools confuse me a lot as they often have imputs I want but also imputs I do not like so it makes me stress out sometimes and making decisions becomes harder because I do not know whom to trust anymore.,25 - 34,UK,Man
Yes,5aad8499e1546900019aef29,Employed full time,Yes,Occasionally,2,2,1,1,1,1,3,4,4,3,1,2,2,1,1,1,1,1,3,"It doesn’t really, I probably spend too much time using them but I don’t think it affects my cognitive abilities too much ",25 - 34,UK,Man
Yes,5aafd9eff69e940001d88bf4,Self-employed / freelance,No,Never,7,7,7,4,4,7,1,1,1,7,7,7,7,4,1,7,7,7,1,I don't use digital tools or AI precisely because I don't want to lose the ability to think for myself - to rely so much on AI doesn't feel like progress for humanity at all .,55 - 65,UK,Woman
Yes,5ac50a19a3ba7a0001b4a483,Employed part-time,No,Rarely,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"They don't. I have only used AI on my own twice, and even though, I asked a simple question, AI answered it, and I was done.",35 - 44,US,Woman
Yes,5aca8df5436f550001000d03,Employed full time,Yes,Sometimes,5,7,3,2,3,5,2,1,3,5,4,3,6,3,4,6,7,3,2,I can get more anxious about making decisions and wonder  if what I'm doing is good enough. It's also easy to be too reliant on AI and not check the results well enough because I want to save time.,45 - 54,New Zealand,Woman
Yes,5acfdb527677430001c8f1e9,Self-employed / freelance,No,Rarely,6,7,7,2,1,5,1,1,1,3,2,3,7,2,3,3,5,1,1,"I think it can make it tough to see what was your decision and what the AI coaxes you to do. Also, it can be tiring to constantly fact check which affects my ability to think clearly",25 - 34,UK,Woman
Yes,5ad78b91b24ddb0001744bc4,Employed full time,Yes,Occasionally,3,5,4,4,2,3,2,5,2,6,6,6,4,4,5,6,6,7,1,I use AI in my work sometimes to help with wording emails that might need a little extra attention. I also use it for some data analysis but have to be careful about the results I get because it’s not always accurate.,45 - 54,US,Woman
Yes,5b07b3959649530001a3c8c5,Employed full time,Yes,Often,1,2,2,2,1,2,1,4,1,4,2,4,2,1,1,1,3,4,1,I find AI a great help and reinforces my own decisions ,55 - 65,UK,Woman
Yes,5b2a2d855b5c0900018b0bf5,Employed full time,No,Occasionally,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,2,7,6,2,Sometimes I feel like I need to get into the real world after using a computer for a long time. I like to take regular breaks and go for a walk or look at my garden to clear my mind and rest my eyes.,45 - 54,UK,Woman
Yes,5b35824a975e260001e9b7a6,Employed full time,Yes,Everyday,5,6,4,7,3,6,5,1,4,1,1,1,4,5,2,2,5,3,5,It's like a bicycle for the mind; in its absence I can attain the same result but it helps me reach a decision quicker and gives me more clarity since my decision making is largely knowledge dependent.,35 - 44,UK,Man
Yes,5b47e287bc06c90001f8b67d,Employed full time,Yes,Everyday,3,5,3,4,3,3,5,4,3,3,5,5,5,2,2,3,5,3,2,Ai can boost efficiency but can clutter my thinking and drain focus,35 - 44,UK,Man
Yes,5b4991de56e0140001acb76b,Employed full time,Yes,Very often,6,5,6,5,4,6,5,4,5,6,6,5,5,6,4,6,5,6,5,I may become overly reliant on them and so I would end up being unable to make independent judgement especially if the AI is incorrect.,25 - 34,US,Man
Yes,5b4a3ab1bc06c90001f902f4,Employed full time,Yes,Often,5,6,5,6,2,4,2,3,2,5,5,4,5,2,2,5,5,5,2,"Sometimes i'm cautious as i can read something on AI and question it's authenticy, i'm worried the responses are too generalised, a summary of information and therefore may not be accurate, i have concerns about misinformation and disinformation. I have read things that do not answer the question asked even though i consider it to be a simple one so i worry about the understaning of the question from the AI and if it's been answered accurately.",35 - 44,UK,Woman
Yes,5b523bdc608e18000184d8a6,Employed part-time,Yes,Rarely,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI tools can make it difficult to tell what is authentic or legitimate in online spaces where it can easily masquerade as human. This can lead to a general distrust in art and writing.,25 - 34,US,Man
Yes,5b5a822e1ad8270001c4f28d,Unemployed and looking for work,No,Occasionally,2,4,4,6,1,5,1,5,1,4,1,1,1,1,1,1,6,3,1,When you use AI tools to help you on a task it loses your own creativity cause you rely on AI too much when you're doing work ,35 - 44,US,Man
Yes,5b68c9eb87af310001584803,Employed full time,Yes,Everyday,5,3,5,7,5,2,7,5,6,5,2,3,3,5,5,6,6,5,3,it provides me with useful information that is unique and personal which makes me feel at ease,25 - 34,UK,Man
Yes,5b70d5cf48302c0001ba0771,Employed full time,Yes,Very often,2,2,1,4,2,2,5,5,2,1,5,3,3,2,1,4,6,1,2,It gives me clarification in real wording on my thoughts,55 - 65,UK,Man
Yes,5b7bc048338a93000155167e,Employed full time,Yes,Very often,3,2,2,1,2,1,4,2,4,3,5,5,6,2,2,4,5,4,1,My mental ability is certainly negatively affected because I don't have to use my brain much when using AI tools. They do the work for me.,45 - 54,UK,Woman
Yes,5b82d4fda284bc000193094c,Employed full time,Yes,Often,4,3,3,3,1,2,5,5,3,4,3,5,3,4,3,3,6,5,2,"It makes it easier for me to remember good ideas and to make decisions. And offers conceptual clarity and distinctions, making me think clearly.",25 - 34,UK,Man
Yes,5b844bb6db11320001c56ca3,Unable to work due to illness or disability,Yes,Very often,1,4,1,4,1,1,4,4,6,6,4,4,7,4,4,4,4,4,4,I think it affects my ability to think for myself sometimes ,25 - 34,UK,Woman
Yes,5b8733a8dd068d0001be4a5f,Employed full time,Yes,Everyday,4,3,2,4,1,2,3,5,2,5,2,5,4,2,1,1,3,3,1,"If used in moderation AI tools don't really have much of an effect on my ability to think clear, but after using them for extensive periods of time it can become harder to distinguish at times between your own thoughts and those you have seen as responses via AI tools.",25 - 34,UK,Man
Yes,5bbf866512eafa0001230094,Employed full time,Yes,Often,3,5,3,3,3,3,5,3,3,3,4,4,5,3,3,3,5,4,4,"AI is good for helping me organize my thoughts, but sometimes I worry about too much input from it affecting my decisions or potentially putting me in an echo chamber of sorts.",25 - 34,US,Woman
Yes,5bddfba7712eb800010d3a61,Self-employed / freelance,Yes,Very often,6,6,6,6,6,6,6,3,6,6,6,6,6,5,5,5,4,4,4,I maybe become dependant on it about taking decisions or writing properly and makes my brain a bit lazy,55 - 65,UK,Woman
Yes,5be9b18df5c1060001085048,Employed full time,Yes,Occasionally,3,2,1,3,1,1,4,4,2,2,1,2,3,1,1,1,3,1,1,i use it in work to help with stock control honestly it help me well,35 - 44,UK,Man
Yes,5bec8599fdf8c50001d0d329,Employed full time,No,Never,4,6,2,1,1,3,1,1,1,2,6,7,7,1,1,4,5,4,1,"I think using ai prevents you from using your own brain to come up with solutions to problems. AI will just parrot back to you what you want to hear, not necessarily what you need to hear, and that can be confusing",25 - 34,UK,Woman
Yes,5bf1fca17c3874000169ec57,Mother and student,Yes,Sometimes,6,5,7,7,2,5,2,1,1,5,3,1,5,1,1,1,3,5,3,I have ADHD so sometimes offloading things to AI help me make sense of things when everything seems too much ,25 - 34,UK,Woman
Yes,5bf54dd783653500016776ec,Employed full time,Yes,Occasionally,5,5,4,2,1,4,2,2,2,4,4,5,4,4,1,2,4,4,4,It doesn't ,35 - 44,UK,Woman
Yes,5bf571f03508750001423e07,Unemployed and looking for work,Yes,Very often,6,7,4,1,1,5,4,5,3,1,1,6,7,1,1,7,7,7,3,"I can think clearly even when using AI tools. Even when against a tough question, I'll read what the AI says after my prompt and try to see how it got there, though it is mentally taxing to review. It is also taxing for me to stare at  screen when using my phone for AI, as my eyes are sensitive and over long periods of screen use I get brain fog.",25 - 34,US,Man
Yes,5bf6bbeb31f7850001d24ce2,Retired,Yes,Very often,4,5,5,5,4,5,2,3,4,6,5,5,6,4,4,4,5,6,3,It makes me more indecisive and not trust my own judgement ,45 - 54,UK,Woman
Yes,5bf7290ed5ec8200015d07e7,Employed full time,Yes,Everyday,6,6,6,5,5,7,7,6,6,7,6,7,7,5,5,5,7,6,4,It’s very convenient but often makes me feel guilty when it makes decisions I can not override. ,45 - 54,UK,Man
Yes,5bfe0d18e373c90001b57c71,Self-employed / freelance,Yes,Sometimes,5,6,6,1,3,6,5,3,3,6,6,5,7,6,4,6,6,4,6,"I find myself getting annoyed with the AI when it makes mistakes or misunderstands me, this clutters up my head with distracting thoughts. I would rather I was able to take the time to think things through slowly, but due to time pressures this would be difficult to get back to.",55 - 65,UK,Woman
Yes,5bffc3ae4108380001f5cd63,Self-employed / freelance,Yes,Occasionally,2,4,7,3,4,7,1,1,1,7,6,7,7,3,4,7,7,7,1,"It makes me think less critically and less able to think for myself so I feel very uneasy about using it and the implications of others using it. I feel that people will lose the ability to research, write well and think for themselves. They will also lose the ability to spend a lot of time working on things and thinking about ideas. They may also not trust their own ideas without checking with AI. I feel overwhelmed when using technology. ",35 - 44,UK,Woman
Yes,5c0b388b9c7b1100015ab55f,Employed full time,Yes,Occasionally,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,4,1,4,AI helps me get answers very quickly and many times the answers are a summary so I do not need to read pages of information. It helps me think about other things in life that are important,55 - 65,US,Woman
Yes,5c0fe8b95096c60001f16140,Employed part-time,Yes,Occasionally,4,5,5,4,5,4,4,4,4,4,5,5,7,3,3,3,4,5,5,Using AI tools over a long period of time makes your brain lazy and slow. It makes you second guess your sentences ,25 - 34,UK,Woman
Yes,5c1b9212bfd9220001a9ada0,Employed full time,Yes,Everyday,5,5,5,7,3,3,3,1,1,5,1,1,7,1,1,1,5,1,1,"AI helps a ton with repetitive tasks, which gives me more time to think clearly.",25 - 34,US,Man
Yes,5c2c62542c45d400014a32e6,Self-employed / freelance,No,Sometimes,6,6,4,6,1,6,3,2,3,7,7,6,7,5,6,6,6,5,4,I don't want to feel like AI is in control of my life.,25 - 34,US,Man
Yes,5c2e322b86f8be000162051d,Employed part-time,Yes,Often,2,3,2,1,1,1,2,1,1,4,2,1,2,1,1,4,4,3,1,"I generally use it to double check things I already think are the case, or to check variances in documents. Therefore I find it really helps me organise my thoughts and be more confident with my assertions. It doesn’t stress me out or worry me.",35 - 44,UK,Woman
Yes,5c3272172f0f3500010284c0,Employed full time,Yes,Sometimes,2,3,2,2,2,2,3,4,2,3,4,5,6,2,2,4,5,6,2,I think that right now AI just enhances what I provide but doesn’t take over or impact my ability to think clearly or make decisions/ ,35 - 44,US,Woman
Yes,5c3a865019ceb400010c914a,Employed full time,Yes,Everyday,2,3,2,3,2,2,5,4,2,3,2,2,3,1,2,1,2,2,1,It makes me think better because it gives me ideas and advice that I wouldn't have otherwisde.,45 - 54,US,Man
Yes,5c41e9263be7b70001fcf4ab,Employed full time,Yes,Everyday,2,1,3,3,2,2,4,3,2,1,2,1,2,1,1,2,4,2,1,"It helps me overall, as I don't waste my time having to phrase communications to clients.",45 - 54,Ireland,Man
